ACX	acx
AEX	aex
Abucoins	abucoins
AidosMarket	aidos-market
Allcoin	allcoin
Altcoin Trader	altcoin-trader
BCEX	bcex
BITHOLIC	bitholic
BL3P	bl3p
BTC Markets	btc-markets
BTC Trade UA	btc-trade-ua
BTC-Alpha	btc-alpha
BTCBOX	btcbox
BTCC	btcc
BTCTurk	btcturk
BX Thailand	bx-thailand
Bancor Network	bancor-network
BarterDEX	barterdex
Bibox	bibox
BigONE	bigone
Binance	binance
Bisq	bisq
Bit-Z	bit-z
Bit2C	bit2c
BitBay	bitbay
BitFlip	bitflip
BitKonan	bitkonan
BitMEX	bitmex
BitMarket	bitmarket
BitShares Asset Exchange	bitshares-asset-exchange
Bitbank	bitbank
Bitbns	bitbns
Bitcoin Indonesia	bitcoin-indonesia
BitcoinToYou	bitcointoyou
BitcoinTrade	bitcointrade
Bitex.la	bitex-la
Bitfinex	bitfinex
Bithesap	bithesap
Bithumb	bithumb
Bitinka	bitinka
Bitlish	bitlish
Bitmaszyna	bitmaszyna
Bitonic	bitonic
Bits Blockchain	bits-blockchain
Bitsane	bitsane
Bitso	bitso
Bitstamp	bitstamp
Bitstamp (Ripple Gateway)	bitstamp-ripple-gateway
Bittrex	bittrex
Bittylicious	bittylicious
Bleutrade	bleutrade
Braziliex	braziliex
BtcTrade.im	btctrade-im
Burst Asset Exchange	burst-asset-exchange
C-CEX	c-cex
C-Patex	c-patex
C2CX	c2cx
CEX.IO	cex-io
COSS	coss
CRXzone	crxzone
ChaoEX	chaoex
Cobinhood	cobinhood
CoinBene	coinbene
CoinCorner	coincorner
CoinEx	coinex
CoinExchange	coinexchange
CoinFalcon	coinfalcon
CoinMate	coinmate
CoinTiger	cointiger
Coinbe	coinbe
Coinfloor	coinfloor
Coingi	coingi
Coinhouse	coinhouse
Coinlink	coinlink
Coinnest	coinnest
Coinone	coinone
Coinrail	coinrail
Coinrate	coinrate
Coinroom	coinroom
CoinsBank	coinsbank
Coinsecure	coinsecure
Coinsquare	coinsquare
Coinut	coinut
Counterparty DEX	counterparty-dex
Crex24	crex24
CryptoBridge	cryptobridge
CryptoDerivatives	cryptoderivatives
CryptoMarket	cryptomarket
Cryptohub	cryptohub
Cryptomate	cryptomate
Cryptonex	cryptonex
Cryptopia	cryptopia
Cryptox	cryptox
DC-Ex	dc-ex
DDEX	ddex
DSX	dsx
Dgtmarket	dgtmarket
EXX	exx
EtherDelta (ForkDelta)	forkdelta
Ethfinex	ethfinex
ExcambrioRex	excambriorex
Exmo	exmo
Exrates	exrates
Fargobase	fargobase
Fatbtc	fatbtc
Fisco	fisco
Foxbit	foxbit
FreiExchange	freiexchange
GDAX	gdax
GOPAX	gopax
Gate.io	gate-io
Gatecoin	gatecoin
Gatehub	gatehub
Gemini	gemini
GetBTC	getbtc
GuldenTrader	guldentrader
Heat Wallet	heat-wallet
HitBTC	hitbtc
Huobi	huobi
IDAX	idax
IDEX	idex
ISX	isx
Independent Reserve	independent-reserve
InfinityCoin Exchange	infinitycoin-exchange
Iquant	iquant
Koineks	koineks
Koinex	koinex
Koinim	koinim
Korbit	korbit
Kraken	kraken
Kucoin	kucoin
Kuna	kuna
LATOKEN	latoken
LEOxChange	leoxchange
LakeBTC	lakebtc
Lbank	lbank
Lendconnect	lendconnect
Liqui	liqui
LiteBit.eu	litebit
Livecoin	livecoin
LocalTrade	localtrade
Luno	luno
Lykke Exchange	lykke-exchange
MBAex	mbaex
Mercado Bitcoin	mercado-bitcoin
Mercatox	mercatox
Mr. Exchange	mr-exchange
NIX-E	nix-e
Nanex	nanex
Negocie Coins	negocie-coins
Neraex	neraexpro
Nocks	nocks
OEX	oex
OKCoin.cn	okcoin-cn
OKEx	okex
OOOBTC	ooobtc
OTCBTC	otcbtc
OasisDEX	oasisdex
Octaex	octaex
OkCoin Intl.	okcoin-intl
Omicrex	omicrex
OpenLedger DEX	openledger
Ore.Bz	ore-bz
Ovis	ovis
Paradex	paradex
Paribu	paribu
Paymium	paymium
Poloniex	poloniex
QBTC	qbtc
Qryptos	qryptos
QuadrigaCX	quadrigacx
Quoine	quoine
Radar Relay	radar-relay
Rfinex	rfinex
RightBTC	rightbtc
Rippex	rippex
Ripple China	ripple-china
RippleFox	ripplefox
RuDEX	rudex
Simex	simex
Sistemkoin	sistemkoin
SouthXchange	southxchange
Stellar Decentralized Exchange	stellar-decentralized-exchange
Stellarport	stellarport
Stocks.Exchange	stocks-exchange
Stronghold	stronghold
SurBTC	surbtc
TCC Exchange	tcc-exchange
TDAX	tdax
TOPBTC	topbtc
The Rock Trading	therocktrading
Tidebit	tidebit
Tidex	tidex
Token Store	token-store
Trade By Trade	trade-by-trade
Trade Satoshi	trade-satoshi
TradeOgre	tradeogre
Tripe Dice Exchange	triple-dice-exchange
Tux Exchange	tux-exchange
Unocoin	unocoin
Upbit	upbit
Vebitcoin	vebitcoin
WEX	wex
Waves Decentralized Exchange	waves-dex
YoBit	yobit
ZB.COM	zb-com
Zaif	zaif
Zebpay	zebpay
bitFlyer	bitflyer
cfinex	cfinex
ezBtc	ezbtc
itBit	itbit
xBTCe	xbtce
