name	safename
BitMEX	bitmex
Upbit	upbit
Binance	binance
Huobi	huobi
OKEx	okex
Bitfinex	bitfinex
Bithumb	bithumb
Bittrex	bittrex
GDAX	gdax
Kraken	kraken
HitBTC	hitbtc
bitFlyer	bitflyer
Bitstamp	bitstamp
Bit-Z	bit-z
Lbank	lbank
Quoine	quoine
Zaif	zaif
BTCBOX	btcbox
Poloniex	poloniex
Fisco	fisco
Bits Blockchain	bits-blockchain
WEX	wex
BTCC	btcc
Gemini	gemini
CoinBene	coinbene
Coinone	coinone
Bitbank	bitbank
CoinsBank	coinsbank
Bibox	bibox
CoinTiger	cointiger
ZB.COM	zb-com
itBit	itbit
Liqui	liqui
EXX	exx
Gate.io	gate-io
Livecoin	livecoin
YoBit	yobit
Kucoin	kucoin
Korbit	korbit
Exmo	exmo
GOPAX	gopax
Neraex	neraexpro
Bitinka	bitinka
Qryptos	qryptos
Exrates	exrates
Ethfinex	ethfinex
Cryptopia	cryptopia
xBTCe	xbtce
GetBTC	getbtc
Tidex	tidex
Omicrex	omicrex
OEX	oex
Bitcoin Indonesia	bitcoin-indonesia
CEX.IO	cex-io
Simex	simex
LakeBTC	lakebtc
TOPBTC	topbtc
QuadrigaCX	quadrigacx
Trade By Trade	trade-by-trade
BtcTrade.im	btctrade-im
C2CX	c2cx
BitBay	bitbay
OTCBTC	otcbtc
RightBTC	rightbtc
QBTC	qbtc
Paribu	paribu
Coinroom	coinroom
Ovis	ovis
CoinExchange	coinexchange
BTC Markets	btc-markets
Fatbtc	fatbtc
MBAex	mbaex
BX Thailand	bx-thailand
Vebitcoin	vebitcoin
Luno	luno
BCEX	bcex
Coinrail	coinrail
Negocie Coins	negocie-coins
Octaex	octaex
BitShares Asset Exchange	bitshares-asset-exchange
BTCTurk	btcturk
Coinnest	coinnest
AEX	aex
Bancor Network	bancor-network
ChaoEX	chaoex
IDAX	idax
Zebpay	zebpay
Koinex	koinex
COSS	coss
Foxbit	foxbit
Mercatox	mercatox
IDEX	idex
DSX	dsx
Bitso	bitso
BigONE	bigone
Sistemkoin	sistemkoin
Coinfloor	coinfloor
BTC-Alpha	btc-alpha
Fargobase	fargobase
Unocoin	unocoin
CoinEx	coinex
Coinsquare	coinsquare
RippleFox	ripplefox
Allcoin	allcoin
Mercado Bitcoin	mercado-bitcoin
Koineks	koineks
Cryptonex	cryptonex
Bithesap	bithesap
OOOBTC	ooobtc
LiteBit.eu	litebit
Bitonic	bitonic
Independent Reserve	independent-reserve
BitcoinTrade	bitcointrade
BL3P	bl3p
CryptoBridge	cryptobridge
BitMarket	bitmarket
Cobinhood	cobinhood
OkCoin Intl.	okcoin-intl
ACX	acx
BitcoinToYou	bitcointoyou
LATOKEN	latoken
Gatehub	gatehub
EtherDelta (ForkDelta)	forkdelta
Waves Decentralized Exchange	waves-dex
Bitbns	bitbns
Iquant	iquant
OpenLedger DEX	openledger
C-CEX	c-cex
Tidebit	tidebit
CoinFalcon	coinfalcon
Koinim	koinim
Lykke Exchange	lykke-exchange
SurBTC	surbtc
OasisDEX	oasisdex
Altcoin Trader	altcoin-trader
Stellar Decentralized Exchange	stellar-decentralized-exchange
Kuna	kuna
Stellarport	stellarport
Stocks.Exchange	stocks-exchange
CoinMate	coinmate
AidosMarket	aidos-market
The Rock Trading	therocktrading
Trade Satoshi	trade-satoshi
TDAX	tdax
Ripple China	ripple-china
Mr. Exchange	mr-exchange
Bittylicious	bittylicious
BTC Trade UA	btc-trade-ua
Bitsane	bitsane
Bleutrade	bleutrade
Bitstamp (Ripple Gateway)	bitstamp-ripple-gateway
BitFlip	bitflip
CryptoMarket	cryptomarket
Braziliex	braziliex
CoinCorner	coincorner
Nanex	nanex
Nocks	nocks
InfinityCoin Exchange	infinitycoin-exchange
Bit2C	bit2c
Gatecoin	gatecoin
SouthXchange	southxchange
Rfinex	rfinex
Coinsecure	coinsecure
Crex24	crex24
CRXzone	crxzone
TradeOgre	tradeogre
cfinex	cfinex
Paradex	paradex
Paymium	paymium
Bitex.la	bitex-la
Bitmaszyna	bitmaszyna
Stronghold	stronghold
Radar Relay	radar-relay
Bitlish	bitlish
Abucoins	abucoins
Coinut	coinut
Tux Exchange	tux-exchange
ezBtc	ezbtc
BITHOLIC	bitholic
Token Store	token-store
Counterparty DEX	counterparty-dex
Cryptomate	cryptomate
Bisq	bisq
OKCoin.cn	okcoin-cn
Coinrate	coinrate
Tripe Dice Exchange	triple-dice-exchange
Cryptohub	cryptohub
Dgtmarket	dgtmarket
TCC Exchange	tcc-exchange
RuDEX	rudex
BitKonan	bitkonan
DDEX	ddex
Cryptox	cryptox
Coinlink	coinlink
BarterDEX	barterdex
Ore.Bz	ore-bz
LocalTrade	localtrade
Heat Wallet	heat-wallet
Coinhouse	coinhouse
CryptoDerivatives	cryptoderivatives
Coingi	coingi
ISX	isx
FreiExchange	freiexchange
GuldenTrader	guldentrader
C-Patex	c-patex
LEOxChange	leoxchange
DC-Ex	dc-ex
Coinbe	coinbe
NIX-E	nix-e
ExcambrioRex	excambriorex
Burst Asset Exchange	burst-asset-exchange
Rippex	rippex
Lendconnect	lendconnect
